# time,JS220-005622.i,JS220-005622.v
9.231112617999315262e-02,1.528774946928024292e-01,5.054651737213134766e+00
9.246012661606073380e-02,1.615924537181854248e-01,5.050652027130126953e+00
9.260912612080574036e-02,1.621381640434265137e-01,5.050818443298339844e+00
9.275812655687332153e-02,1.568301469087600708e-01,5.052935600280761719e+00
9.290712699294090271e-02,1.565858423709869385e-01,5.053143024444580078e+00
9.305612742900848389e-02,1.560107767581939697e-01,5.053467273712158203e+00
9.320512693375349045e-02,1.567246317863464355e-01,5.053177833557128906e+00
9.335512761026620865e-02,1.636168360710144043e-01,5.049971103668212891e+00
9.350412711501121521e-02,1.604687869548797607e-01,5.051417827606201172e+00
9.365312755107879639e-02,1.519771069288253784e-01,5.055187225341796875e+00
9.380212798714637756e-02,1.523192524909973145e-01,5.055154323577880859e+00
9.395112842321395874e-02,1.534658968448638916e-01,5.054585933685302734e+00
9.410012792795896530e-02,1.526946574449539185e-01,5.054873466491699219e+00
9.424912836402654648e-02,1.525626331567764282e-01,5.054895401000976562e+00
9.439812880009412766e-02,1.526191681623458862e-01,5.054883956909179688e+00
9.454812854528427124e-02,1.574707329273223877e-01,5.052432537078857422e+00
9.469712898135185242e-02,1.598104089498519897e-01,5.051884651184082031e+00
9.484612941741943359e-02,1.595619469881057739e-01,5.051671981811523438e+00
9.499512985348701477e-02,1.658669859170913696e-01,5.049146175384521484e+00
9.514412935823202133e-02,1.676320135593414307e-01,5.048440933227539062e+00
9.529312979429960251e-02,1.634829044342041016e-01,5.050151348114013672e+00
9.544213023036718369e-02,1.628915369510650635e-01,5.050456523895263672e+00
9.559113066643476486e-02,1.627177447080612183e-01,5.050360202789306641e+00
9.574113041162490845e-02,1.532056331634521484e-01,5.054687023162841797e+00
9.589013084769248962e-02,1.530729532241821289e-01,5.054608821868896484e+00
9.603913128376007080e-02,1.529828608036041260e-01,5.054542064666748047e+00
9.618813078850507736e-02,1.524379104375839233e-01,5.055001258850097656e+00
9.633713122457265854e-02,1.525142192840576172e-01,5.054862976074218750e+00
9.648613166064023972e-02,1.528404653072357178e-01,5.054516315460205078e+00
9.663513209670782089e-02,1.574167013168334961e-01,5.052802085876464844e+00
