# time,JS220-005622.i,JS220-005622.v
1.497601903975009918e-02,2.130270190536975861e-02,5.110593318939208984e+00
1.503401901572942734e-02,2.009996771812438965e-02,5.111340999603271484e+00
1.509201899170875549e-02,2.347620949149131775e-02,5.110408782958984375e+00
1.515101920813322067e-02,2.258743718266487122e-02,5.110456943511962891e+00
1.520901918411254883e-02,2.237717248499393463e-02,5.110392093658447266e+00
1.526701916009187698e-02,2.248425409197807312e-02,5.110939502716064453e+00
1.532501913607120514e-02,2.021251991391181946e-02,5.111393451690673828e+00
1.538301911205053329e-02,2.124017849564552307e-02,5.110571861267089844e+00
1.544101908802986145e-02,2.036918699741363525e-02,5.110545635223388672e+00
1.549901999533176422e-02,2.123136259615421295e-02,5.110889911651611328e+00
1.555701997131109238e-02,2.084136381745338440e-02,5.110985755920410156e+00
1.561501994729042053e-02,2.067715115845203400e-02,5.111268520355224609e+00
1.567301992326974869e-02,2.151352539658546448e-02,5.110942363739013672e+00
1.573101989924907684e-02,2.012788131833076477e-02,5.112385272979736328e+00
1.578901987522840500e-02,2.123455889523029327e-02,5.110693454742431641e+00
1.584701985120773315e-02,2.109854295849800110e-02,5.111416339874267578e+00
1.590501982718706131e-02,2.050597034394741058e-02,5.110787391662597656e+00
1.596301980316638947e-02,2.117091044783592224e-02,5.111026763916015625e+00
1.602101977914571762e-02,2.048430405557155609e-02,5.111170291900634766e+00
1.607902068644762039e-02,2.255286835134029388e-02,5.110319137573242188e+00
1.613702066242694855e-02,2.232716977596282959e-02,5.110691547393798828e+00
1.619502063840627670e-02,2.301711402833461761e-02,5.110403537750244141e+00
1.625302061438560486e-02,2.227509953081607819e-02,5.111115932464599609e+00
1.631202083081007004e-02,2.058548480272293091e-02,5.111507415771484375e+00
1.637002080678939819e-02,2.133901417255401611e-02,5.110577106475830078e+00
1.642802078276872635e-02,2.036583609879016876e-02,5.111211299896240234e+00
1.648602075874805450e-02,2.140592597424983978e-02,5.110830307006835938e+00
1.654402073472738266e-02,2.051938325166702271e-02,5.111129760742187500e+00
1.660202071070671082e-02,2.101070806384086609e-02,5.111174106597900391e+00
1.666002068668603897e-02,2.101701125502586365e-02,5.110888957977294922e+00
1.671802066266536713e-02,2.058480121195316315e-02,5.110806465148925781e+00
1.677602156996726990e-02,2.145424671471118927e-02,5.110708713531494141e+00
1.683402154594659805e-02,2.028405480086803436e-02,5.111306190490722656e+00
1.689202152192592621e-02,2.140136808156967163e-02,5.111460208892822266e+00
